cluster,Alveolar_macrophages;lung,Astrocytes;brain,B_cells;adipose_tissue,B_cells;bone_marrow,B_cells;breast,B_cells;liver,B_cells;lung,B_cells;muscle_organ,B_cells;spleen,Basal_cells;breast,Basal_cells_of_epidermis;skin_of_body,Basal_cells_of_epidermis;tongue,Basophils;bone_marrow,Bergmann_glial_cells;brain,Bladder_cells;urinary_bladder,Bladder_urothelial_cells;urinary_bladder,Blood_cells;trachea,Brain_pericytes;brain,Cardiomyocytes;heart,Cardiomyocytes;vasculature,Ciliated_columnar_cells_of_tracheobronchial_tree;lung,Classical_monocytes;lung,Common_lymphoid_progenitors;bone_marrow,Dendritic_cells;spleen,Double-negative_thymic_pro-T_cells;thymus,Ductal_epithelial_cells;liver,Early_pro-B_cells;bone_marrow,Epithelial_brush_cells;colon,Fraction_A_pre-pro_B_cells;bone_marrow,Kupffer_cell;liver,Langerhans_cell;tongue,Not_Annotated;adipose_tissue,Not_Annotated;heart,Not_Annotated;lung,Not_Annotated;muscle_organ,Not_Annotated;trachea,Not_Annotated;vasculature,Slamf1-negative_multipotent_progenitor_cells;bone_marrow,Slamf1-positive_multipotent_progenitor_cells;bone_marrow,T_cells;adipose_tissue,T_cells;bone_marrow,T_cells;breast,T_cells;lung,T_cells;muscle_organ,T_cells;spleen,collecting_duct_epithelial_cells;kidney,colon_epithelial_cells;colon,colon_goblet_cells;colon,endocardial_cells;heart,endocardial_cells;vasculature,endothelial_cells;adipose_tissue,endothelial_cells;brain,endothelial_cells;breast,endothelial_cells;heart,endothelial_cells;kidney,endothelial_cells;muscle_organ,endothelial_cells;pancreas,endothelial_cells;trachea,endothelial_cells;urinary_bladder,endothelial_cells;vasculature,enterocytes;colon,enteroendocrine_cells;colon,epidermal_cells;skin_of_body,epithelial_cells;trachea,epithelial_cells_of_proximal_tubule;kidney,erythroblasts;bone_marrow,erythrocytes;vasculature,fibroblasts;heart,fibroblasts;vasculature,granulocyte_monocyte_progenitor_cells;bone_marrow,granulocytes;bone_marrow,granulocytopoietic_cells;bone_marrow,hematopoietic_precursor_cells;bone_marrow,hepatocytes;liver,immature_B_cells;bone_marrow,immature_NK_T_cells;bone_marrow,immature_T_cells;bone_marrow,immature_T_cells;thymus,immature_natural_killer_cells;bone_marrow,keratinocyte_stem_cells;skin_of_body,keratinocytes;tongue,kidney_capillary_endothelial_cells;kidney,kidney_cells;kidney,late_pro-B_cells;bone_marrow,leukocytes;heart,leukocytes;kidney,leukocytes;liver,leukocytes;lung,leukocytes;pancreas,leukocytes;skin_of_body,leukocytes;thymus,leukocytes;urinary_bladder,loop_of_Henle_ascending_limb_epithelial_cells;kidney,luminal_epithelial_cells_of_mammary_gland;breast,lung_endothelial_cells;lung,lung_epithelial_cells;lung,lymphocytes;muscle_organ,macrophages;bone_marrow,macrophages;brain,macrophages;breast,macrophages;kidney,macrophages;muscle_organ,macrophages;spleen,mast_cells;lung,mature_natural_killer_cells;bone_marrow,megakaryocyte-erythroid_progenitor_cells;bone_marrow,mesangial_cells;kidney,mesenchymal_cells;trachea,mesenchymal_stem_cells;muscle_organ,mesenchymal_stem_cells_of_adipose;adipose_tissue,microglia;brain,monocytes;bone_marrow,monocytes;lung,myeloid_cells;adipose_tissue,myeloid_cells;lung,myofibroblasts;heart,naive_B_cells;bone_marrow,natural_killer_cells;adipose_tissue,natural_killer_cells;liver,natural_killer_cells;lung,natural_killer_cells;spleen,neuroendocrine_cells;trachea,neurons;brain,non-classical_monocytes;lung,oligodendrocyte_precursor_cells;brain,oligodendrocytes;brain,pancreatic_A_cells;pancreas,pancreatic_D_cells;pancreas,pancreatic_PP_cells;pancreas,pancreatic_acinar_cells;pancreas,pancreatic_beta_cells;pancreas,pancreatic_ductal_cells;pancreas,pancreatic_stellate_cells;pancreas,pre-natural_killer_cells;bone_marrow,precursor_B_cells;bone_marrow,proerythroblasts;bone_marrow,professional_antigen_presenting_cells;vasculature,promonocytes;bone_marrow,proximal_straight_tubule_epithelial_cells;kidney,regulatory_T_cells;bone_marrow,sinusoidal_endothelial_cells;liver,skeletal_muscle_satellite_cells;muscle_organ,skeletal_muscle_satellite_stem_cells;muscle_organ,smooth_muscle_cells;heart,stem_cells_of_epidermis;skin_of_body,stromal_cells;breast,stromal_cells;lung,type_II_pneumocytes;lung
Alveolar_macrophages;lung_TRUE,5.856586719941403,4.850190445867137,5.953695876140526,5.953695876140526,5.953695876140526,5.953695876140526,5.953695876140526,5.953695876140526,5.953695876140526,3.700905990600586,2.8227978581967563,2.8227978581967563,2.2829833498899488,4.128327693239502,0.828916961559351,0.0,5.569457445110101,3.271053944722466,4.938045593707458,4.938045593707458,0.9507298455722091,6.5924243830252385,1.9728087422208511,5.519306235063983,5.627244266478912,6.81128640693167,1.6317030340001204,0.0,0.6759609415911246,6.490190312136775,1.6839757477027784,0.0,0.0,0.0,0.0,0.0,0.0,8.680650299873905,8.680650299873905,9.913382009870332,9.913382009870332,9.913382009870332,9.913382009870332,9.913382009870332,9.913382009870332,6.81128640693167,6.81128640693167,1.8600263600764069,0.025403461508128954,0.025403461508128954,6.776443087622739,6.776443087622739,6.776443087622739,6.776443087622739,6.776443087622739,6.776443087622739,6.776443087622739,6.776443087622739,6.776443087622739,6.776443087622739,1.13280618565454,0.6378397900125256,4.865226788451706,7.7375207372333685,6.81128640693167,3.6365498252536943,5.569457445110101,7.502709410156029,7.502709410156029,10.293955246261929,4.807505032808884,0.0,2.9100895242414615,5.0575990143029586,1.9822438972583716,5.653796347587005,5.627244266478912,5.627244266478912,5.1427193312541295,9.778190082398014,6.430631524054469,0.9894299230713776,1.1343975383518399,0.6759609415911246,7.67536951666293,7.67536951666293,7.67536951666293,7.67536951666293,7.67536951666293,7.67536951666293,7.67536951666293,7.67536951666293,6.81128640693167,6.81128640693167,5.25776840387911,6.81128640693167,7.1545799143072495,10.296439466366301,10.296439466366301,10.296439466366301,10.296439466366301,10.296439466366301,10.296439466366301,6.286320678263471,5.1427193312541295,0.3365094129590021,1.6118400684301404,4.563584418918776,7.776637193517409,7.5808681815430745,6.126533139961353,8.014889992492787,8.014889992492787,5.28234824443209,5.28234824443209,4.1638443109349925,2.4641271895256596,5.1427193312541295,5.1427193312541295,5.1427193312541295,5.1427193312541295,1.5691440598688264,4.902127348383269,6.5924243830252385,2.5230668572843937,2.676592757045359,0.03598261060922042,0.0,0.0,0.7893151148505834,0.29637616544530015,0.10968219145484594,1.374926655534385,5.1427193312541295,1.6671387266421664,1.0183829349020252,6.340562295654546,0.0,6.81128640693167,4.910119350578475,5.659608792653982,0.3411160966624385,8.680650299873905,1.4846164530062158,8.680650299873905,4.789867282604826,4.789867282604826,1.574494757168535
Astrocytes;brain_TRUE,3.170947706464816,18.272953527393163,4.908542036768739,4.908542036768739,4.908542036768739,4.908542036768739,4.908542036768739,4.908542036768739,4.908542036768739,2.297185239278608,1.3015697950290308,1.3015697950290308,0.1884004771709442,14.060226781224763,0.0,0.0,2.882290662093847,3.9543925906634994,5.778004620638159,5.778004620638159,0.0,5.436755460480021,2.097504682838917,3.489914102134881,2.5134423370947374,3.3065449392931816,0.5404596924781799,0.0,0.0,3.7864685403183103,1.708002609235269,0.0,0.0,0.0,0.0,0.0,0.0,4.30381272919476,4.30381272919476,3.665902852662839,3.665902852662839,3.665902852662839,3.665902852662839,3.665902852662839,3.665902852662839,3.3065449392931816,3.3065449392931816,1.8219778537750244,0.35348981618881226,0.35348981618881226,7.305651161405775,7.305651161405775,7.305651161405775,7.305651161405775,7.305651161405775,7.305651161405775,7.305651161405775,7.305651161405775,7.305651161405775,7.305651161405775,2.0950019769370556,0.0,0.8083269054553023,4.417157016867013,3.3065449392931816,0.1671093830631839,2.882290662093847,3.631692440076559,3.631692440076559,7.524634371822079,2.250816900847928,0.0,0.08064500242471695,5.2863730601793915,0.8259891867637634,2.679256226981697,2.5134423370947374,2.5134423370947374,1.4830340760591854,4.30381272919476,1.015094354748726,2.26497701369226,0.9600382332983255,0.0,4.681073947292235,4.681073947292235,4.681073947292235,4.681073947292235,4.681073947292235,4.681073947292235,4.681073947292235,4.681073947292235,3.3065449392931816,3.3065449392931816,6.1728131928377685,3.3065449392931816,3.57983034055818,10.69460441392881,10.69460441392881,10.69460441392881,10.69460441392881,10.69460441392881,10.69460441392881,2.2282143341532596,1.4830340760591854,1.006463646888733,1.8418664283774517,0.7013819968948761,4.765683845478904,4.765683845478904,8.238108516360322,5.436755460480021,5.436755460480021,3.171386180359318,3.171386180359318,1.853980643545381,1.4076447435482233,1.4848585773854412,1.4848585773854412,1.4848585773854412,1.4848585773854412,0.04421341860735858,10.808675095438959,5.436755460480021,2.0468026072614722,3.2449356230338,0.04213208332657814,0.0,0.0,0.5536429399831427,0.448529452085495,0.4728296350825716,0.3788844682276249,1.4830340760591854,1.859616469591856,0.0,5.887716403851907,0.0,3.3065449392931816,2.0451466679849006,6.1728131928377685,0.0,4.30381272919476,3.6874516420497527,4.30381272919476,2.4593113716260566,2.4593113716260566,0.16699425876140594
B_cells;adipose_tissue_TRUE,1.4523186514832382,1.7471234021503803,12.986572295140212,12.986572295140212,12.986572295140212,12.986572295140212,12.986572295140212,12.986572295140212,12.986572295140212,0.18429567644763772,0.18429567644763772,0.18429567644763772,1.0774747849888886,2.881361791853271,0.0,0.0,3.156170410845206,0.6768448951731298,0.08405669778585434,0.08405669778585434,0.0,3.8036771358093087,1.5566921461524301,7.829229982257579,3.6041827503311845,1.2680993368400544,4.349976215332115,0.0,2.7448220252990723,0.7562759027660237,1.0665605068206787,0.0,0.0,0.0,0.0,0.0,0.0,4.541369662510666,4.541369662510666,9.037854379541841,9.037854379541841,9.037854379541841,9.037854379541841,9.037854379541841,9.037854379541841,1.2680993368400544,1.2680993368400544,0.09704466901992329,0.0,0.0,9.248622627028038,9.248622627028038,9.248622627028038,9.248622627028038,9.248622627028038,9.248622627028038,9.248622627028038,9.248622627028038,9.248622627028038,9.248622627028038,2.590818216920129,1.1051948341560731,1.4560468933026456,2.2646732011052686,1.2680993368400544,0.5748481750488281,3.156170410845206,1.030236458617598,1.030236458617598,5.916613564383318,2.55431256140358,0.0,0.04456916078925133,1.0313736860118161,3.738510624177194,6.341171299618793,3.6041827503311845,3.6041827503311845,6.341171299618793,4.541369662510666,0.17828918993473053,0.0,0.0,3.0038612631646657,7.631863962650758,7.631863962650758,7.631863962650758,7.631863962650758,7.631863962650758,7.631863962650758,7.631863962650758,7.631863962650758,1.2680993368400544,1.2680993368400544,9.248622627028038,1.2680993368400544,7.343423656760383,8.055719300042227,8.055719300042227,8.055719300042227,8.055719300042227,8.055719300042227,8.055719300042227,2.086667342495482,6.341171299618793,0.051647450774908066,0.07093479484319687,0.8789823556566514,5.288610823610385,5.288610823610385,5.327332175593385,6.106605419820903,6.106605419820903,5.3555950704308835,5.3555950704308835,0.1850672960281372,5.23944026082467,6.341171299618793,6.341171299618793,6.341171299618793,6.341171299618793,0.6830601096153259,1.7395684413023307,3.8036771358093087,0.14298567175865173,0.7807729048421158,0.0,0.0,0.0,0.0,0.2689345180988312,0.0,0.0,6.341171299618793,6.322561476042275,0.0,5.513553976955213,0.0,1.2680993368400544,1.5843607658710555,9.248622627028038,0.0,4.541369662510666,1.1499669691673364,4.541369662510666,2.728260452089282,2.728260452089282,0.0
B_cells;bone_marrow_TRUE,4.47185754776001,3.7377695739269257,6.615270152688026,6.615270152688026,6.615270152688026,6.615270152688026,6.615270152688026,6.615270152688026,6.615270152688026,0.48408380150794983,0.3890506625175476,0.3890506625175476,0.009618544951081276,2.6475211679935455,1.8327998146414757,0.0,2.041282579302788,0.4345741868019104,0.4894349277019501,0.4894349277019501,0.0,1.9999188780784607,1.2703986167907715,4.023955661803484,3.992374002933502,1.9535909947007895,0.41505494713783264,0.0,0.41505494713783264,4.001549512147903,0.4161544144153595,0.0,0.0,0.0,0.0,0.0,0.0,2.6743112057447433,2.6743112057447433,5.5697787925601006,5.5697787925601006,5.5697787925601006,5.5697787925601006,5.5697787925601006,5.5697787925601006,1.9535909947007895,1.9535909947007895,0.40017423033714294,0.0,0.0,3.3406831473112106,3.3406831473112106,3.3406831473112106,3.3406831473112106,3.3406831473112106,3.3406831473112106,3.3406831473112106,3.3406831473112106,3.3406831473112106,3.3406831473112106,0.4237677752971649,0.0,1.2883299849927425,2.5958205088973045,1.9535909947007895,2.949495315551758,2.041282579302788,2.9718632958829403,2.9718632958829403,2.724263921380043,1.9094879031181335,0.0,0.0,2.1398156322538853,1.555360659956932,6.143264949321747,3.992374002933502,3.992374002933502,5.08593088388443,2.9453191310167313,1.6191993057727814,0.5006221532821655,0.07822045683860779,0.41505494713783264,6.038159132003784,6.038159132003784,6.038159132003784,6.038159132003784,6.038159132003784,6.038159132003784,6.038159132003784,6.038159132003784,1.9535909947007895,1.9535909947007895,2.1099642515182495,1.9535909947007895,6.315105587244034,8.513894021511078,8.513894021511078,8.513894021511078,8.513894021511078,8.513894021511078,8.513894021511078,4.194710001349449,5.08593088388443,1.21023428440094,0.26991918683052063,0.1870231181383133,2.069608584046364,2.0623031556606293,3.6114121824502945,2.6186554431915283,2.6186554431915283,3.5501216873526573,3.5501216873526573,0.46915048360824585,2.8718827962875366,5.08593088388443,5.08593088388443,5.08593088388443,5.08593088388443,0.0,3.616541303694248,1.9999188780784607,0.0,0.3469318449497223,0.0,0.0,0.0,0.15529841929674149,0.0,0.0,0.0,5.08593088388443,1.1185947060585022,0.0,4.635268539190292,0.0,1.9535909947007895,0.43568962812423706,2.1099642515182495,0.0,2.6743112057447433,0.9612306654453278,2.6743112057447433,1.424142710864544,1.424142710864544,1.2098935842514038
B_cells;breast_TRUE,1.5440469980239868,0.9772778749465942,1.4736327081918716,1.4736327081918716,1.4736327081918716,1.4736327081918716,1.4736327081918716,1.4736327081918716,1.4736327081918716,2.0965230464935303,2.0965230464935303,2.0965230464935303,0.0,0.32063667476177216,0.0,0.0,4.516115963459015,0.0,1.0975645780563354,1.0975645780563354,0.0,1.7159345000982285,0.03866427391767502,0.8372516985982656,0.94326326623559,1.7390941940248013,0.0,0.0,0.0,2.470647893846035,2.9511584490537643,0.0,0.0,0.0,0.0,0.0,0.0,2.353774741292,2.353774741292,1.4666224531829357,1.4666224531829357,1.4666224531829357,1.4666224531829357,1.4666224531829357,1.4666224531829357,1.7390941940248013,1.7390941940248013,0.23431704938411713,0.0,0.0,3.4763075690716505,3.4763075690716505,3.4763075690716505,3.4763075690716505,3.4763075690716505,3.4763075690716505,3.4763075690716505,3.4763075690716505,3.4763075690716505,3.4763075690716505,0.0775819718837738,0.0,3.3724058866500854,1.964971300214529,1.7390941940248013,0.14737063739448786,4.516115963459015,2.9770962074398994,2.9770962074398994,3.04764024913311,0.762563269585371,0.0,0.0,1.1414511315524578,0.0,1.5359662994742393,0.94326326623559,0.94326326623559,1.0191894508898258,2.8849935829639435,2.8825070653110743,0.43700122833251953,0.08902885764837265,0.0,1.8727564550936222,1.8727564550936222,1.8727564550936222,1.8727564550936222,1.8727564550936222,1.8727564550936222,1.8727564550936222,1.8727564550936222,1.7390941940248013,1.7390941940248013,3.311815744265914,1.7390941940248013,1.7329513281583786,2.0066064596176147,2.0066064596176147,2.0066064596176147,2.0066064596176147,2.0066064596176147,2.0066064596176147,0.5203341022133827,1.0191894508898258,3.231013536453247,0.48745760321617126,0.0,2.3746294379234314,2.3746294379234314,0.4011730030179024,1.7159345000982285,1.7159345000982285,0.8017573319375515,0.8017573319375515,0.35149747133255005,0.5710508982883766,1.0191894508898258,1.0191894508898258,1.0191894508898258,1.0191894508898258,0.0,1.8814425468444824,1.7159345000982285,0.028541795909404755,0.040679559111595154,0.0,0.0,0.0,0.1361299306154251,0.0,0.0,0.0,1.0191894508898258,0.37882182374596596,0.14626963436603546,4.264744788408279,0.0,1.7390941940248013,0.33416929841041565,3.311815744265914,0.0,2.353774741292,0.0,2.353774741292,0.11606757715344429,0.11606757715344429,0.0
B_cells;liver_TRUE,1.8409954701981892,1.6941975634999393,12.123614776788688,12.123614776788688,12.123614776788688,12.123614776788688,12.123614776788688,12.123614776788688,12.123614776788688,0.40784609063369476,0.40784609063369476,0.40784609063369476,1.003429238389178,3.027118562198267,0.0,0.0,3.495794271550528,0.7998712662516572,0.16560573621494015,0.16560573621494015,0.0,5.263219792668412,1.8000426728550982,7.948069281694367,5.050407470726386,0.9196709212733478,3.5507487371200472,0.0,2.4100876319699176,1.4776042016541084,0.9364921523303522,0.0,0.0,0.0,0.0,0.0,0.0,4.52174802451599,4.52174802451599,10.627759132443405,10.627759132443405,10.627759132443405,10.627759132443405,10.627759132443405,10.627759132443405,0.9196709212733478,0.9196709212733478,0.09486050140566941,0.0,0.0,8.808856879792563,8.808856879792563,8.808856879792563,8.808856879792563,8.808856879792563,8.808856879792563,8.808856879792563,8.808856879792563,8.808856879792563,8.808856879792563,1.8959978504515276,1.0803204047970656,1.3274878101514245,2.083013554898704,0.9196709212733478,0.7893665440198853,3.495794271550528,1.8173002469830397,1.8173002469830397,7.055482643406567,3.12370913493924,0.0,0.039133897278367025,1.0620973426394347,3.1186625899338143,8.055418305280732,5.050407470726386,5.050407470726386,8.055418305280732,4.52174802451599,0.3603741508431551,0.0,0.0,2.5745620843840813,9.828733508179827,9.828733508179827,9.828733508179827,9.828733508179827,9.828733508179827,9.828733508179827,9.828733508179827,9.828733508179827,0.9196709212733478,0.9196709212733478,7.407486831269614,0.9196709212733478,8.079375296104246,8.141144345446332,8.141144345446332,8.141144345446332,8.141144345446332,8.141144345446332,8.141144345446332,2.280609798867528,8.055418305280732,0.04534898116821197,0.06228421010622165,0.9952354314850599,5.005497211363258,5.005497211363258,5.6038838799406845,7.078744620811649,7.078744620811649,5.333981463095038,5.333981463095038,0.3015639305841632,5.48934394848056,8.055418305280732,8.055418305280732,8.055418305280732,8.055418305280732,0.5997600962476033,5.435355099236094,5.263219792668412,0.12554839471491375,1.1176605631665486,0.0,0.0,0.0,0.0,0.23613762564775423,0.0,0.0,8.055418305280732,6.001305083676082,0.0,5.222924491254295,0.0,0.9196709212733478,1.6563509550036455,7.407486831269614,0.0,4.52174802451599,0.6468052762310679,4.52174802451599,2.3365884664945487,2.3365884664945487,0.0
B_cells;lung_TRUE,2.4719867427687077,2.5247310462810986,18.851998304726976,18.851998304726976,18.851998304726976,18.851998304726976,18.851998304726976,18.851998304726976,18.851998304726976,0.5112721663310953,0.4850017469718881,0.4850017469718881,1.4742827429168526,4.085612676152781,0.16097575426101685,0.0,7.212905256684256,1.7171970495090632,2.7000167006162847,2.7000167006162847,0.0,6.414410071354717,1.4736546384192062,8.906085941526625,5.8515931108673875,4.751759680294899,5.11929140739514,0.0,3.351964327681567,2.4464674521223344,6.694936061213757,0.0,0.0,0.0,0.0,0.0,0.0,8.14113296197292,8.14113296197292,9.567060110098558,9.567060110098558,9.567060110098558,9.567060110098558,9.567060110098558,9.567060110098558,4.751759680294899,4.751759680294899,0.0,0.0,0.0,8.535752267216358,8.535752267216358,8.535752267216358,8.535752267216358,8.535752267216358,8.535752267216358,8.535752267216358,8.535752267216358,8.535752267216358,8.535752267216358,1.3472099075828932,0.43852946162223816,3.093160465359688,6.422316463971047,4.751759680294899,0.7606890847856514,7.212905256684256,4.446203469430807,4.446203469430807,9.10957230256435,5.656161147515893,0.0,0.24421977405918055,4.109410706151035,4.7382324795841715,7.7888452056724,5.8515931108673875,5.8515931108673875,7.7888452056724,8.670316482412403,3.285637500528175,2.392127275466919,1.7271793029089084,3.351964327681567,12.059615874256211,12.059615874256211,12.059615874256211,12.059615874256211,12.059615874256211,12.059615874256211,12.059615874256211,12.059615874256211,4.751759680294899,4.751759680294899,8.535752267216358,4.751759680294899,9.561568669889166,8.888182004292807,8.888182004292807,8.888182004292807,8.888182004292807,8.888182004292807,8.888182004292807,4.424242909383957,7.7888452056724,0.6132685603623875,2.1560679308185176,1.5094391995348693,7.061328660482648,7.061328660482648,4.558953516556385,8.564292112072767,8.564292112072767,9.243342399597168,9.243342399597168,2.663925291592134,9.181349208202015,7.7888452056724,7.7888452056724,7.7888452056724,7.7888452056724,0.6752088439875635,2.8210033142361146,6.414410071354717,0.15434004725010572,0.7051802670932821,0.0587860569357872,0.0,0.0,0.04559320956468582,0.3257395474390052,0.0,0.0,7.7888452056724,9.09150006122516,0.0,7.677477516433744,0.0,4.751759680294899,1.3495265329363701,8.535752267216358,0.0,8.14113296197292,0.49669069085998097,8.14113296197292,4.844426357883147,4.844426357883147,0.7226821184158325
B_cells;muscle_organ_TRUE,3.3683745157449767,2.796402371971679,13.567242256680826,13.567242256680826,13.567242256680826,13.567242256680826,13.567242256680826,13.567242256680826,13.567242256680826,2.583240531468974,2.556970112109767,2.556970112109767,1.4790970593466795,3.57121312203712,0.16097575426101685,0.0,7.494241489615655,1.3110868636154591,2.7815521688977802,2.7815521688977802,0.0,6.200710860970325,1.5220361100439739,6.525075092687643,4.492633127964529,4.134247781638813,4.360852139784877,0.0,3.0076714731696854,3.61568666120669,6.871190760704808,0.0,0.0,0.0,0.0,0.0,0.0,7.561921943287205,7.561921943287205,7.331386888105619,7.331386888105619,7.331386888105619,7.331386888105619,7.331386888105619,7.331386888105619,4.134247781638813,4.134247781638813,0.23431704938411713,0.0,0.0,7.104205781243797,7.104205781243797,7.104205781243797,7.104205781243797,7.104205781243797,7.104205781243797,7.104205781243797,7.104205781243797,7.104205781243797,7.104205781243797,0.8979901457415488,0.43852946162223816,3.3972076979794896,6.017660576374011,4.134247781638813,0.7531763484729525,7.494241489615655,4.852538581405367,4.852538581405367,8.765682805637669,3.17211370492228,0.0,0.2446482866456298,4.1929267783810324,4.336037181373825,6.100235269313917,4.492633127964529,4.492633127964529,5.583458420729503,8.093140784959148,3.9995261177812753,2.8291285037994385,1.6246712431311607,3.0076714731696854,9.498699653333516,9.498699653333516,9.498699653333516,9.498699653333516,9.498699653333516,9.498699653333516,9.498699653333516,9.498699653333516,4.134247781638813,4.134247781638813,7.104205781243797,4.134247781638813,7.967924246438464,8.703842253389215,8.703842253389215,8.703842253389215,8.703842253389215,8.703842253389215,8.703842253389215,3.6653543323614546,5.583458420729503,3.838045697050043,2.3380146543250273,1.3050172866735243,7.376736993628337,7.376736993628337,4.2805059078268535,7.0100799481895635,7.0100799481895635,6.7044428851371425,6.7044428851371425,2.488694232433362,6.411780770823423,5.583458420729503,5.583458420729503,5.583458420729503,5.583458420729503,0.6817761620408611,3.9430881458565707,6.200710860970325,0.18425658656830401,0.6503505770649229,0.0587860569357872,0.0,0.0,0.18172314018011093,0.32832523278499903,0.0,0.0,5.583458420729503,6.965693819707722,0.0,9.188101474951981,0.0,4.134247781638813,1.486034259984368,7.104205781243797,0.0,7.561921943287205,0.49876526398654275,7.561921943287205,4.323804593203883,4.323804593203883,0.7226821184158325
B_cells;spleen_TRUE,5.699449313456472,0.9902323866687552,25.35666722510127,25.35666722510127,25.35666722510127,25.35666722510127,25.35666722510127,25.35666722510127,25.35666722510127,1.7840275751663772,1.5180631806958091,1.5180631806958091,5.184737502763779,3.968798159779058,0.0,0.0,7.632552480771928,2.71333376003094,2.103551057757921,2.103551057757921,0.0,10.467132672607411,3.282512035890531,9.34466329247914,10.377031141638277,4.2853001191853375,7.473417521657549,0.0,4.74841906402734,2.9374650312521835,2.981505473045677,0.0,0.0,0.0,0.0,0.0,0.0,10.417744869855452,10.417744869855452,14.843046890761325,14.843046890761325,14.843046890761325,14.843046890761325,14.843046890761325,14.843046890761325,4.2853001191853375,4.2853001191853375,1.735685551570248,0.0,0.0,9.68047167199261,9.68047167199261,9.68047167199261,9.68047167199261,9.68047167199261,9.68047167199261,9.68047167199261,9.68047167199261,9.68047167199261,9.68047167199261,1.5600154525055785,0.0,2.970917681286042,6.655982204485418,4.2853001191853375,1.1135046508736373,7.632552480771928,2.883663868787206,2.883663868787206,12.65134003455782,11.566602383253702,0.0,0.517613557724688,4.751781028042239,5.176519952728101,12.90638878236813,10.377031141638277,10.377031141638277,12.429260237561044,10.417744869855452,2.4612421141883885,0.8367401593532421,0.33284970160496785,4.74841906402734,17.893650413797786,17.893650413797786,17.893650413797786,17.893650413797786,17.893650413797786,17.893650413797786,17.893650413797786,17.893650413797786,4.2853001191853375,4.2853001191853375,9.321147819843267,4.2853001191853375,16.9037250122027,12.352469413857085,12.352469413857085,12.352469413857085,12.352469413857085,12.352469413857085,12.352469413857085,8.642269425268033,12.429260237561044,1.470306750111984,0.6662731542491351,1.0679293438677508,6.693914402416949,6.693914402416949,2.752208691909336,12.980924366477007,12.980924366477007,10.843985054729826,10.843985054729826,0.8571285375095855,15.358377333828338,12.429260237561044,12.429260237561044,12.429260237561044,12.429260237561044,0.6745458567519796,6.422393286365119,10.467132672607411,0.1412033744936655,0.34651347278062716,0.0,0.0,0.0,0.13340595452524434,0.45686868465021047,0.10872220290868248,0.19977764310193474,12.429260237561044,10.051431360278839,0.0,9.45018924306748,0.0,4.2853001191853375,4.8304132982045065,9.321147819843267,0.11915880816061196,10.417744869855452,1.3040183157741216,10.417744869855452,5.428665872389656,5.428665872389656,0.11359616641702272
Basal_cells;breast_TRUE,1.945890547600134,0.8358393116159404,2.5122884467725943,2.5122884467725943,2.5122884467725943,2.5122884467725943,2.5122884467725943,2.5122884467725943,2.5122884467725943,3.324932510527948,2.577910840201598,2.577910840201598,0.03381140980929755,2.509352525476771,0.9379659914185765,0.0,2.9516727437134014,1.089032166549295,2.072156313436824,2.072156313436824,0.06961711141652929,1.0724952998839956,1.10311744504933,1.0562629300163195,0.2455862251004983,4.231263238205371,0.0,0.0,0.0,1.334751774615008,0.3204507167874804,0.0,0.0,0.0,0.0,0.0,0.0,4.778501176737747,4.778501176737747,1.385223724997622,1.385223724997622,1.385223724997622,1.385223724997622,1.385223724997622,1.385223724997622,4.231263238205371,4.231263238205371,0.46713744367173865,0.0,0.0,2.908466178562501,2.908466178562501,2.908466178562501,2.908466178562501,2.908466178562501,2.908466178562501,2.908466178562501,2.908466178562501,2.908466178562501,2.908466178562501,0.0,0.0,3.572286129875354,4.9537031881803735,4.231263238205371,0.0,2.9516727437134014,3.5292609515266524,3.5292609515266524,4.778501176737747,0.5904309231460989,0.0,0.0,1.72701466431966,0.0,1.74371784753392,0.2455862251004983,0.2455862251004983,1.74371784753392,5.189381241110126,5.332650531487707,0.43503546212341715,0.5829088445709841,0.0,2.8995524377112574,2.8995524377112574,2.8995524377112574,2.8995524377112574,2.8995524377112574,2.8995524377112574,2.8995524377112574,2.8995524377112574,4.231263238205371,4.231263238205371,2.8180462414738625,4.231263238205371,1.6791117929490003,2.2296543593408744,2.2296543593408744,2.2296543593408744,2.2296543593408744,2.2296543593408744,2.2296543593408744,0.6089277716555717,1.74371784753392,0.09117004194449609,0.06943693942891534,0.4070060390282173,2.6324868403185877,2.6324868403185877,1.2038416640174856,2.108899464671593,2.108899464671593,0.7652744193137655,0.7652744193137655,1.6452293699009313,0.04024612002814614,1.74371784753392,1.74371784753392,1.74371784753392,1.74371784753392,0.03618979621162385,1.9546490455429149,1.0724952998839956,0.07660396746413538,0.0,0.06239513354268415,0.0,0.0,0.0,0.0,0.0,0.20839838258595172,1.74371784753392,0.7075439774093603,0.0,4.79763419564822,0.0,4.231263238205371,0.23400925922338736,2.8180462414738625,0.0,4.778501176737747,1.1060918371255486,4.778501176737747,0.4773044825088465,0.4773044825088465,0.0
